Palabra,Frecuencia,Archivo
subvención,1,CP26-1 UNFCC
ineficiente,1,CP26-1 UNFCC
combustible,1,CP26-1 UNFCC
fósil,1,CP26-1 UNFCC
prestar,8,CP26-1 UNFCC
pobre,1,CP26-1 UNFCC
arreglo,5,CP26-1 UNFCC
circunstancia,3,CP26-1 UNFCC
necesitar,1,CP26-1 UNFCC
justo,3,CP26-1 UNFCC
proteger,3,CP26-1 UNFCC
conservar,2,CP26-1 UNFCC
restaurar,2,CP26-1 UNFCC
terrestre,1,CP26-1 UNFCC
marino,1,CP26-1 UNFCC
alcanzar,6,CP26-1 UNFCC
pues,1,CP26-1 UNFCC
actuar,3,CP26-1 UNFCC
sumidero,2,CP26-1 UNFCC
reservorio,2,CP26-1 UNFCC
medioambiental,1,CP26-1 UNFCC
prestarl,1,CP26-1 UNFCC
asistencia,8,CP26-1 UNFCC
cumplir,12,CP26-1 UNFCC
virtud,1,CP26-1 UNFCC
prestir,4,CP26-1 UNFCC
prestado,4,CP26-1 UNFCC
tipo,2,CP26-1 UNFCC
título,1,CP26-1 UNFCC
voluntario,1,CP26-1 UNFCC
debido,3,CP26-1 UNFCC
vez,4,CP26-1 UNFCC
endeudamiento,1,CP26-1 UNFCC
primero,15,CP26-1 UNFCC
determinación,13,CP26-1 UNFCC
aplicación,28,CP26-1 UNFCC
cuarto,10,CP26-1 UNFCC
reseña,11,CP26-1 UNFCC
corriente,13,CP26-1 UNFCC
allá,1,CP26-1 UNFCC
millón,22,CP26-1 UNFCC
dólares,25,CP26-1 UNFCC
unido,6,CP26-1 UNFCC
anual,21,CP26-1 UNFCC
profundo,1,CP26-1 UNFCC
pesar,3,CP26-1 UNFCC
aún,3,CP26-1 UNFCC
cumplido,1,CP26-1 UNFCC
conjuntamente,8,CP26-1 UNFCC
real,3,CP26-1 UNFCC
transparencia,3,CP26-1 UNFCC
prometido,3,CP26-1 UNFCC
suministro,7,CP26-1 UNFCC
dirigido,7,CP26-1 UNFCC
colectivo,2,CP26-1 UNFCC
recoger,2,CP26-1 UNFCC
plenamente,3,CP26-1 UNFCC
carácter,3,CP26-1 UNFCC
ahora,1,CP26-1 UNFCC
cumplimiento,4,CP26-1 UNFCC
entidad,20,CP26-1 UNFCC
encargado,10,CP26-1 UNFCC
funcionamiento,16,CP26-1 UNFCC
inversión,5,CP26-1 UNFCC
pedir,38,CP26-1 UNFCC
eficacia,13,CP26-1 UNFCC
procedente,5,CP26-1 UNFCC
donación,3,CP26-1 UNFCC
condición,4,CP26-1 UNFCC
altamente,1,CP26-1 UNFCC
favorable,4,CP26-1 UNFCC
nuevamente,2,CP26-1 UNFCC
particularmente,5,CP26-1 UNFCC
estudien,4,CP26-1 UNFCC
cómo,6,CP26-1 UNFCC
especial,5,CP26-1 UNFCC
giro,1,CP26-1 UNFCC
dificultad,10,CP26-1 UNFCC
experimentar,1,CP26-1 UNFCC
acceder,2,CP26-1 UNFCC
redoblar,1,CP26-1 UNFCC
mejorar,20,CP26-1 UNFCC
acceso,6,CP26-1 UNFCC
véar,20,CP26-1 UNFCC
documento,15,CP26-1 UNFCC
fccccpaddfcccpacmaadd,8,CP26-1 UNFCC
planpdf,1,CP26-1 UNFCC
planteado,1,CP26-1 UNFCC
criterio,3,CP26-1 UNFCC
admisibilidad,1,CP26-1 UNFCC
proveedor,5,CP26-1 UNFCC
considerar,6,CP26-1 UNFCC
simplificar,1,CP26-1 UNFCC
progreso,17,CP26-1 UNFCC
ámbito,5,CP26-1 UNFCC
coherencia,6,CP26-1 UNFCC
coordinación,2,CP26-1 UNFCC
llevadas,1,CP26-1 UNFCC
cabo,4,CP26-1 UNFCC
aplicar,8,CP26-1 UNFCC
ayudar,6,CP26-1 UNFCC
determinar,10,CP26-1 UNFCC
atender,6,CP26-1 UNFCC
carencia,5,CP26-1 UNFCC
existente,5,CP26-1 UNFCC
emergente,2,CP26-1 UNFCC
catalizar,1,CP26-1 UNFCC
solución,3,CP26-1 UNFCC
conjunto,5,CP26-1 UNFCC
ejecutivo,26,CP26-1 UNFCC
correspondiente,8,CP26-1 UNFCC
ambos,2,CP26-1 UNFCC
colaboración,28,CP26-1 UNFCC
puesto,2,CP26-1 UNFCC
práctico,3,CP26-1 UNFCC
facilitación,1,CP26-1 UNFCC
innovación,1,CP26-1 UNFCC
provenir,1,CP26-1 UNFCC
diverso,3,CP26-1 UNFCC
ver,4,CP26-1 UNFCC
daño,13,CP26-1 UNFCC
causar,1,CP26-1 UNFCC
evolución,1,CP26-1 UNFCC
lento,1,CP26-1 UNFCC
suponer,2,CP26-1 UNFCC
amenaza,1,CP26-1 UNFCC
económico,2,CP26-1 UNFCC
ampliar,1,CP26-1 UNFCC
gamar,1,CP26-1 UNFCC
evitar,9,CP26-1 UNFCC
mínimo,9,CP26-1 UNFCC
afrontar,10,CP26-1 UNFCC
reiterar,5,CP26-1 UNFCC
bilateral,26,CP26-1 UNFCC
gubernamental,10,CP26-1 UNFCC
fcccsb,12,CP26-1 UNFCC
caber,2,CP26-1 UNFCC
señalar,3,CP26-1 UNFCC
debate,8,CP26-1 UNFCC
gobernanza,3,CP26-1 UNFCC
varsovia,2,CP26-1 UNFCC
repercusión,6,CP26-1 UNFCC
arrojar,2,CP26-1 UNFCC
ninguno,2,CP26-1 UNFCC
resultado,9,CP26-1 UNFCC
obsta,2,CP26-1 UNFCC
examinar,9,CP26-1 UNFCC
asunto,4,CP26-1 UNFCC
técnico,13,CP26-1 UNFCC
obedecer,1,CP26-1 UNFCC
demanda,1,CP26-1 UNFCC
fomentar,1,CP26-1 UNFCC
continuación,3,CP26-1 UNFCC
santiago,1,CP26-1 UNFCC
función,11,CP26-1 UNFCC
desarrollar,1,CP26-1 UNFCC
institucional,2,CP26-1 UNFCC
coherente,3,CP26-1 UNFCC
magnitud,1,CP26-1 UNFCC
alianza,4,CP26-1 UNFCC
organismo,10,CP26-1 UNFCC
comprender,2,CP26-1 UNFCC
claridad,1,CP26-1 UNFCC
vii,5,CP26-1 UNFCC
mesa,1,CP26-1 UNFCC
redondo,1,CP26-1 UNFCC
constituido,5,CP26-1 UNFCC
encarecidamente,1,CP26-1 UNFCC
posible,3,CP26-1 UNFCC
pendiente,2,CP26-1 UNFCC
formulado,1,CP26-1 UNFCC
extraer,1,CP26-1 UNFCC
potencial,2,CP26-1 UNFCC
encerrar,1,CP26-1 UNFCC
contribuir,8,CP26-1 UNFCC
implementación,1,CP26-1 UNFCC
gran,1,CP26-1 UNFCC
intensidad,1,CP26-1 UNFCC
economía,2,CP26-1 UNFCC
afectado,1,CP26-1 UNFCC
servicio,12,CP26-1 UNFCC
servir,2,CP26-1 UNFCC
sustentar,1,CP26-1 UNFCC
vida,1,CP26-1 UNFCC
integrado,2,CP26-1 UNFCC
mencionada,3,CP26-1 UNFCC
suprar,25,CP26-1 UNFCC
justa,1,CP26-1 UNFCC
erradicación,1,CP26-1 UNFCC
creación,2,CP26-1 UNFCC
decente,1,CP26-1 UNFCC
empleo,1,CP26-1 UNFCC
calidad,14,CP26-1 UNFCC
situar,1,CP26-1 UNFCC
compatible,2,CP26-1 UNFCC
bajo,1,CP26-1 UNFCC
viii,2,CP26-1 UNFCC
rever,2,CP26-1 UNFCC
innovadoro,1,CP26-1 UNFCC
agente,1,CP26-1 UNFCC
crecimiento,1,CP26-1 UNFCC
marrakech,1,CP26-1 UNFCC
mira,6,CP26-1 UNFCC
liderazgo,1,CP26-1 UNFCC
paladín,1,CP26-1 UNFCC
alto,7,CP26-1 UNFCC
secretacer,19,CP26-1 UNFCC
plataforma,3,CP26-1 UNFCC
zona,3,CP26-1 UNFCC
actor,2,CP26-1 UNFCC
estatal,1,CP26-1 UNFCC
rendición,1,CP26-1 UNFCC
cuenta,2,CP26-1 UNFCC
iniciativa,4,CP26-1 UNFCC
voluntaria,3,CP26-1 UNFCC
comunicado,3,CP26-1 UNFCC
semana,4,CP26-1 UNFCC
celebrar,4,CP26-1 UNFCC
creíble,1,CP26-1 UNFCC
duradero,1,CP26-1 UNFCC
oficioso,3,CP26-1 UNFCC
presidencia,9,CP26-1 UNFCC
acerca,5,CP26-1 UNFCC
diálogo,12,CP26-1 UNFCC
vínculo,3,CP26-1 UNFCC
presentar,8,CP26-1 UNFCC
opinión,4,CP26-1 UNFCC
basado,3,CP26-1 UNFCC
programa,27,CP26-1 UNFCC
enumerado,1,CP26-1 UNFCC
referencia,15,CP26-1 UNFCC
prepare,6,CP26-1 UNFCC
disposición,4,CP26-1 UNFCC
integrar,2,CP26-1 UNFCC
mandato,20,CP26-1 UNFCC
informir,1,CP26-1 UNFCC
dentro,1,CP26-1 UNFCC
según,5,CP26-1 UNFCC
proceder,5,CP26-1 UNFCC
partir,2,CP26-1 UNFCC
junio,4,CP26-1 UNFCC
subsiguiente,1,CP26-1 UNFCC
comiencir,1,CP26-1 UNFCC
prontitud,1,CP26-1 UNFCC
tomar,24,CP26-1 UNFCC
consideración,7,CP26-1 UNFCC
partnershippdf,1,CP26-1 UNFCC
ª,11,CP26-1 UNFCC
juventud,4,CP26-1 UNFCC
organizado,4,CP26-1 UNFCC
agrupación,3,CP26-1 UNFCC
infancia,2,CP26-1 UNFCC
evento,5,CP26-1 UNFCC
youthclimate,1,CP26-1 UNFCC
driving,4,CP26-1 UNFCC
ambition,2,CP26-1 UNFCC
italia,2,CP26-1 UNFCC
milán,1,CP26-1 UNFCC
septiembre,1,CP26-1 UNFCC
velir,1,CP26-1 UNFCC
participación,10,CP26-1 UNFCC
representación,5,CP26-1 UNFCC
genuina,1,CP26-1 UNFCC
futuro,3,CP26-1 UNFCC
facilitar,4,CP26-1 UNFCC
foro,3,CP26-1 UNFCC
juvenil,1,CP26-1 UNFCC
eficaz,2,CP26-1 UNFCC
implicar,1,CP26-1 UNFCC
activamente,2,CP26-1 UNFCC
diseño,1,CP26-1 UNFCC
trienal,1,CP26-1 UNFCC
desempeño,7,CP26-1 UNFCC
reconocimiento,2,CP26-1 UNFCC
observadora,3,CP26-1 UNFCC
nueve,1,CP26-1 UNFCC
difundir,2,CP26-1 UNFCC
llamamiento,1,CP26-1 UNFCC
ambiciosa,1,CP26-1 UNFCC
tal,2,CP26-1 UNFCC
pleno,2,CP26-1 UNFCC
genuín,1,CP26-1 UNFCC
igualitario,1,CP26-1 UNFCC
perspectiva,3,CP26-1 UNFCC
fundamental,2,CP26-1 UNFCC
refuercir,1,CP26-1 UNFCC
versión,1,CP26-1 UNFCC
limo,1,CP26-1 UNFCC
nota,24,CP26-1 UNFCC
presupuestaria,3,CP26-1 UNFCC
estimado,2,CP26-1 UNFCC
encomendada,2,CP26-1 UNFCC
solicitada,2,CP26-1 UNFCC
llevir,2,CP26-1 UNFCC
sujeción,4,CP26-1 UNFCC
disponibilidad,4,CP26-1 UNFCC
plenario,10,CP26-1 UNFCC
anexo,35,CP26-1 UNFCC
proporcionado,3,CP26-1 UNFCC
subrayar,2,CP26-1 UNFCC
recomendación,10,CP26-1 UNFCC
equilibrado,3,CP26-1 UNFCC
claro,1,CP26-1 UNFCC
esfera,5,CP26-1 UNFCC
flexible,3,CP26-1 UNFCC
medir,1,CP26-1 UNFCC
alcance,3,CP26-1 UNFCC
publicación,3,CP26-1 UNFCC
prever,1,CP26-1 UNFCC
estadística,1,CP26-1 UNFCC
desglosada,1,CP26-1 UNFCC
sensibilización,1,CP26-1 UNFCC
divulgación,2,CP26-1 UNFCC
intercambio,2,CP26-1 UNFCC
reanudir,1,CP26-1 UNFCC
celebración,1,CP26-1 UNFCC
presencial,1,CP26-1 UNFCC
reunión,15,CP26-1 UNFCC
ordinaria,1,CP26-1 UNFCC
ofrecer,2,CP26-1 UNFCC
virtual,2,CP26-1 UNFCC
observador,5,CP26-1 UNFCC
plantear,1,CP26-1 UNFCC
línea,2,CP26-1 UNFCC
designar,2,CP26-1 UNFCC
punto,1,CP26-1 UNFCC
contacto,1,CP26-1 UNFCC
través,10,CP26-1 UNFCC
enlacir,2,CP26-1 UNFCC
asociado,3,CP26-1 UNFCC
nairobi,1,CP26-1 UNFCC
formular,1,CP26-1 UNFCC
ejecutar,3,CP26-1 UNFCC
establecer,1,CP26-1 UNFCC
dispuesto,4,CP26-1 UNFCC
aspecto,2,CP26-1 UNFCC
pertinencia,2,CP26-1 UNFCC
invitación,1,CP26-1 UNFCC
cursado,1,CP26-1 UNFCC
tres,2,CP26-1 UNFCC
mes,1,CP26-1 UNFCC
tardar,4,CP26-1 UNFCC
transmitir,3,CP26-1 UNFCC
portal,3,CP26-1 UNFCC
modo,2,CP26-1 UNFCC
dicho,5,CP26-1 UNFCC
párr,12,CP26-1 UNFCC
aportar,3,CP26-1 UNFCC
suficiente,1,CP26-1 UNFCC
satisfactorio,1,CP26-1 UNFCC
puntual,1,CP26-1 UNFCC
pnad,4,CP26-1 UNFCC
abierto,2,CP26-1 UNFCC
seguido,1,CP26-1 UNFCC
limitación,1,CP26-1 UNFCC
impuesto,1,CP26-1 UNFCC
albania,1,CP26-1 UNFCC
armenia,1,CP26-1 UNFCC
camboyar,1,CP26-1 UNFCC
kuwait,1,CP26-1 UNFCC
nepal,1,CP26-1 UNFCC
perú,1,CP26-1 UNFCC
sudáfrico,1,CP26-1 UNFCC
sudán,1,CP26-1 UNFCC
sur,1,CP26-1 UNFCC
timorleste,1,CP26-1 UNFCC
tonguir,1,CP26-1 UNFCC
central,5,CP26-1 UNFCC
elevar,3,CP26-1 UNFCC
número,5,CP26-1 UNFCC
total,16,CP26-1 UNFCC
iniciar,3,CP26-1 UNFCC
formule,1,CP26-1 UNFCC
examine,8,CP26-1 UNFCC
aprobar,4,CP26-1 UNFCC
decidir,9,CP26-1 UNFCC
mencionado,6,CP26-1 UNFCC
siguiente,6,CP26-1 UNFCC
febrero,1,CP26-1 UNFCC
consecución,5,CP26-1 UNFCC
experiencia,4,CP26-1 UNFCC
práctica,3,CP26-1 UNFCC
lección,2,CP26-1 UNFCC
aprendido,2,CP26-1 UNFCC
observado,2,CP26-1 UNFCC
facilitado,2,CP26-1 UNFCC
recibido,9,CP26-1 UNFCC
b,22,CP26-1 UNFCC
continuo,4,CP26-1 UNFCC
utilizar,4,CP26-1 UNFCC
cuestionario,1,CP26-1 UNFCC
c,51,CP26-1 UNFCC
recogido,2,CP26-1 UNFCC
obtenido,1,CP26-1 UNFCC
acto,2,CP26-1 UNFCC
tema,2,CP26-1 UNFCC
expo,1,CP26-1 UNFCC
d,14,CP26-1 UNFCC
organizar,5,CP26-1 UNFCC
elaborar,5,CP26-1 UNFCC
resumir,6,CP26-1 UNFCC
evaluar,4,CP26-1 UNFCC
rector,1,CP26-1 UNFCC
figurar,15,CP26-1 UNFCC
transparente,5,CP26-1 UNFCC
año,15,CP26-1 UNFCC
recientemente,2,CP26-1 UNFCC
existir,3,CP26-1 UNFCC
público,4,CP26-1 UNFCC
duplicado,1,CP26-1 UNFCC
significativamente,1,CP26-1 UNFCC
incluso,1,CP26-1 UNFCC
posibilidad,4,CP26-1 UNFCC
duplicar,1,CP26-1 UNFCC
equilibrio,6,CP26-1 UNFCC
cara,1,CP26-1 UNFCC
entorno,2,CP26-1 UNFCC
propicio,2,CP26-1 UNFCC
atraer,1,CP26-1 UNFCC
crear,1,CP26-1 UNFCC
marcos,1,CP26-1 UNFCC
político,8,CP26-1 UNFCC
efectivo,8,CP26-1 UNFCC
arquitectura,1,CP26-1 UNFCC
maximice,1,CP26-1 UNFCC
satisfacer,1,CP26-1 UNFCC
definición,7,CP26-1 UNFCC
aportación,3,CP26-1 UNFCC
recopilar,1,CP26-1 UNFCC
resulte,1,CP26-1 UNFCC
interés,4,CP26-1 UNFCC
estrategia,5,CP26-1 UNFCC
actualizado,3,CP26-1 UNFCC
mensaje,4,CP26-1 UNFCC
clave,4,CP26-1 UNFCC
contener,3,CP26-1 UNFCC
tercer,4,CP26-1 UNFCC
ministerial,4,CP26-1 UNFCC
deliberación,2,CP26-1 UNFCC
aguardar,3,CP26-1 UNFCC
preparar,4,CP26-1 UNFCC
curso,3,CP26-1 UNFCC
concluir,2,CP26-1 UNFCC
preparación,8,CP26-1 UNFCC
mantenido,1,CP26-1 UNFCC
fccccpinf,1,CP26-1 UNFCC
fccccp,11,CP26-1 UNFCC
previsto,2,CP26-1 UNFCC
torno,1,CP26-1 UNFCC
cauce,4,CP26-1 UNFCC
vía,2,CP26-1 UNFCC
explorar,1,CP26-1 UNFCC
realizar,3,CP26-1 UNFCC
cargo,4,CP26-1 UNFCC
propio,2,CP26-1 UNFCC
plasmar,1,CP26-1 UNFCC
concreta,1,CP26-1 UNFCC
principal,6,CP26-1 UNFCC
superior,1,CP26-1 UNFCC
promedio,4,CP26-1 UNFCC
suministrado,1,CP26-1 UNFCC
proyecto,16,CP26-1 UNFCC
respectivamente,1,CP26-1 UNFCC
granularidad,1,CP26-1 UNFCC
dato,7,CP26-1 UNFCC
granular,7,CP26-1 UNFCC
armonización,1,CP26-1 UNFCC
metodología,2,CP26-1 UNFCC
seguimiento,3,CP26-1 UNFCC
aportado,1,CP26-1 UNFCC
informar,2,CP26-1 UNFCC
fccccpfcccpacma,3,CP26-1 UNFCC
fourth,11,CP26-1 UNFCC
biennial,1,CP26-1 UNFCC
and,638,CP26-1 UNFCC
overview,12,CP26-1 UNFCC
finance,179,CP26-1 UNFCC
flow,64,CP26-1 UNFCC
bonn,4,CP26-1 UNFCC
cmnucc,3,CP26-1 UNFCC
filesresourceunfcccbareportvpdf,1,CP26-1 UNFCC
acordado,1,CP26-1 UNFCC
multilateralmente,1,CP26-1 UNFCC
faltar,3,CP26-1 UNFCC
afectar,1,CP26-1 UNFCC
mientras,1,CP26-1 UNFCC
mencionar,1,CP26-1 UNFCC
único,1,CP26-1 UNFCC
útil,1,CP26-1 UNFCC
operativo,2,CP26-1 UNFCC
actualmente,1,CP26-1 UNFCC
entendimiento,3,CP26-1 UNFCC
suministran,1,CP26-1 UNFCC
respondar,1,CP26-1 UNFCC
sinopsis,1,CP26-1 UNFCC
activo,4,CP26-1 UNFCC
superar,1,CP26-1 UNFCC
billón,3,CP26-1 UNFCC
inversor,1,CP26-1 UNFCC
ascender,2,CP26-1 UNFCC
comprometido,1,CP26-1 UNFCC
alinear,3,CP26-1 UNFCC
préstamo,1,CP26-1 UNFCC
velar,1,CP26-1 UNFCC
incorporar,2,CP26-1 UNFCC
determinado,3,CP26-1 UNFCC
identificado,1,CP26-1 UNFCC
presupuestado,1,CP26-1 UNFCC
importe,1,CP26-1 UNFCC
acumulado,1,CP26-1 UNFCC
aunque,1,CP26-1 UNFCC
definir,1,CP26-1 UNFCC
identificar,1,CP26-1 UNFCC
coste,2,CP26-1 UNFCC
significar,1,CP26-1 UNFCC
necesariamente,1,CP26-1 UNFCC
sino,1,CP26-1 UNFCC
bien,1,CP26-1 UNFCC
manifiesto,1,CP26-1 UNFCC
herramienta,1,CP26-1 UNFCC
first,27,CP26-1 UNFCC
determination,10,CP26-1 UNFCC
needs,260,CP26-1 UNFCC
developing,96,CP26-1 UNFCC
country,54,CP26-1 UNFCC
parti,86,CP26-1 UNFCC
related,41,CP26-1 UNFCC
implementing,16,CP26-1 UNFCC
convention,19,CP26-1 UNFCC
pari,48,CP26-1 UNFCC
agreement,46,CP26-1 UNFCC
oftheneedsofdevelopingcountrypartiesfirstreportonthedeterminationoftheneedsof,1,CP26-1 UNFCC
developingcountrypartiesrelatedtoimplementing,1,CP26-1 UNFCC
característica,1,CP26-1 UNFCC
además,4,CP26-1 UNFCC
abarca,4,CP26-1 UNFCC
limitado,3,CP26-1 UNFCC
actualizar,3,CP26-1 UNFCC
presentación,2,CP26-1 UNFCC
cualitativo,1,CP26-1 UNFCC
cuantitativo,1,CP26-1 UNFCC
desglosado,1,CP26-1 UNFCC
pequeño,3,CP26-1 UNFCC
insular,1,CP26-1 UNFCC
estimar,2,CP26-1 UNFCC
costo,4,CP26-1 UNFCC
referir,1,CP26-1 UNFCC
señalada,2,CP26-1 UNFCC
calcular,1,CP26-1 UNFCC
cálculo,1,CP26-1 UNFCC
acudir,1,CP26-1 UNFCC
generar,2,CP26-1 UNFCC
bélgico,1,CP26-1 UNFCC
japón,1,CP26-1 UNFCC
noruego,1,CP26-1 UNFCC
comisión,1,CP26-1 UNFCC
europeo,1,CP26-1 UNFCC
efectuado,2,CP26-1 UNFCC
dar,4,CP26-1 UNFCC
centrar,3,CP26-1 UNFCC
llevar,4,CP26-1 UNFCC
esquema,1,CP26-1 UNFCC
quinto,1,CP26-1 UNFCC
recalca,1,CP26-1 UNFCC
basada,1,CP26-1 UNFCC
formato,2,CP26-1 UNFCC
híbrido,1,CP26-1 UNFCC
día,2,CP26-1 UNFCC
seguridad,1,CP26-1 UNFCC
podido,1,CP26-1 UNFCC
modalidad,3,CP26-1 UNFCC
implicación,9,CP26-1 UNFCC
intensificar,5,CP26-1 UNFCC
receptividad,1,CP26-1 UNFCC
estudie,5,CP26-1 UNFCC
impartar,1,CP26-1 UNFCC
únicamente,3,CP26-1 UNFCC
context,21,CP26-1 UNFCC
mandat,4,CP26-1 UNFCC
scf,18,CP26-1 UNFCC
assists,1,CP26-1 UNFCC
cop,11,CP26-1 UNFCC
in,423,CP26-1 UNFCC
exercising,1,CP26-1 UNFCC
its,9,CP26-1 UNFCC
functions,3,CP26-1 UNFCC
with,106,CP26-1 UNFCC
respect,1,CP26-1 UNFCC
financial,56,CP26-1 UNFCC
mechanism,9,CP26-1 UNFCC
including,30,CP26-1 UNFCC
terms,12,CP26-1 UNFCC
measurement,3,CP26-1 UNFCC
reporting,29,CP26-1 UNFCC
verification,3,CP26-1 UNFCC
support,42,CP26-1 UNFCC
provided,18,CP26-1 UNFCC
through,25,CP26-1 UNFCC
activiti,45,CP26-1 UNFCC
such,47,CP26-1 UNFCC
as,117,CP26-1 UNFCC
ba,19,CP26-1 UNFCC
also,22,CP26-1 UNFCC
serv,1,CP26-1 UNFCC
line,7,CP26-1 UNFCC
responsibiliti,3,CP26-1 UNFCC
established,6,CP26-1 UNFCC
under,18,CP26-1 UNFCC
since,14,CP26-1 UNFCC
preparation,7,CP26-1 UNFCC
subsequent,3,CP26-1 UNFCC
bas,4,CP26-1 UNFCC
been,21,CP26-1 UNFCC
guided,1,CP26-1 UNFCC
by,93,CP26-1 UNFCC
from,85,CP26-1 UNFCC
present,9,CP26-1 UNFCC
an,30,CP26-1 UNFCC
updated,3,CP26-1 UNFCC
trends,5,CP26-1 UNFCC
up,9,CP26-1 UNFCC
until,2,CP26-1 UNFCC
assess,7,CP26-1 UNFCC
their,68,CP26-1 UNFCC
implications,3,CP26-1 UNFCC
for,176,CP26-1 UNFCC
international,19,CP26-1 UNFCC
efforts,14,CP26-1 UNFCC
address,5,CP26-1 UNFCC
includ,4,CP26-1 UNFCC
developed,22,CP26-1 UNFCC
countri,94,CP26-1 UNFCC
available,31,CP26-1 UNFCC
information,91,CP26-1 UNFCC
domestic,11,CP26-1 UNFCC
cooperation,1,CP26-1 UNFCC
among,9,CP26-1 UNFCC
other,42,CP26-1 UNFCC
climaterelated,8,CP26-1 UNFCC
that,80,CP26-1 UNFCC
constitute,2,CP26-1 UNFCC
it,23,CP26-1 UNFCC
key,8,CP26-1 UNFCC
featur,2,CP26-1 UNFCC
composition,1,CP26-1 UNFCC
purpós,3,CP26-1 UNFCC
explor,1,CP26-1 UNFCC
insights,9,CP26-1 UNFCC
into,11,CP26-1 UNFCC
effectiveness,5,CP26-1 UNFCC
access,9,CP26-1 UNFCC
ownership,4,CP26-1 UNFCC
alignment,3,CP26-1 UNFCC
prioriti,5,CP26-1 UNFCC
beneficiari,2,CP26-1 UNFCC
well,11,CP26-1 UNFCC
magnitude,1,CP26-1 UNFCC
broader,6,CP26-1 UNFCC
addition,5,CP26-1 UNFCC
provid,9,CP26-1 UNFCC
recent,8,CP26-1 UNFCC
development,54,CP26-1 UNFCC
methodological,3,CP26-1 UNFCC
issues,6,CP26-1 UNFCC
tracking,14,CP26-1 UNFCC
at,49,CP26-1 UNFCC
level,25,CP26-1 UNFCC
operational,7,CP26-1 UNFCC
definitions,10,CP26-1 UNFCC
usar,20,CP26-1 UNFCC
new,11,CP26-1 UNFCC
indicators,4,CP26-1 UNFCC
measuring,7,CP26-1 UNFCC
impact,7,CP26-1 UNFCC
mapping,10,CP26-1 UNFCC
relevant,26,CP26-1 UNFCC
longterm,7,CP26-1 UNFCC
goal,14,CP26-1 UNFCC
outlined,3,CP26-1 UNFCC
article,32,CP26-1 UNFCC
paragraph,27,CP26-1 UNFCC
making,4,CP26-1 UNFCC
consistent,11,CP26-1 UNFCC
pathway,6,CP26-1 UNFCC
toward,11,CP26-1 UNFCC
low,11,CP26-1 UNFCC
ghg,11,CP26-1 UNFCC
emission,9,CP26-1 UNFCC
climateresilient,13,CP26-1 UNFCC
exercise,3,CP26-1 UNFCC
bir,55,CP26-1 UNFCC
conducted,1,CP26-1 UNFCC
every,2,CP26-1 UNFCC
four,4,CP26-1 UNFCC
years,7,CP26-1 UNFCC
identify,13,CP26-1 UNFCC
latest,1,CP26-1 UNFCC
actions,21,CP26-1 UNFCC
different,18,CP26-1 UNFCC
actors,21,CP26-1 UNFCC
pathways,14,CP26-1 UNFCC
national,73,CP26-1 UNFCC
government,6,CP26-1 UNFCC
institutions,34,CP26-1 UNFCC
banks,5,CP26-1 UNFCC
regulators,2,CP26-1 UNFCC
funds,24,CP26-1 UNFCC
private,22,CP26-1 UNFCC
corporations,2,CP26-1 UNFCC
investors,3,CP26-1 UNFCC
produced,1,CP26-1 UNFCC
united,13,CP26-1 UNFCC
nations,10,CP26-1 UNFCC
entiti,12,CP26-1 UNFCC
initiativ,24,CP26-1 UNFCC
process,46,CP26-1 UNFCC
perspective,2,CP26-1 UNFCC
society,2,CP26-1 UNFCC
organizations,5,CP26-1 UNFCC
academic,1,CP26-1 UNFCC
community,1,CP26-1 UNFCC
was,30,CP26-1 UNFCC
explored,1,CP26-1 UNFCC
emerging,8,CP26-1 UNFCC
methodologi,33,CP26-1 UNFCC
datar,80,CP26-1 UNFCC
set,9,CP26-1 UNFCC
consistency,15,CP26-1 UNFCC
arir,101,CP26-1 UNFCC
discussed,1,CP26-1 UNFCC
respective,5,CP26-1 UNFCC
chapter,1,CP26-1 UNFCC
technical,16,CP26-1 UNFCC
see,17,CP26-1 UNFCC
below,9,CP26-1 UNFCC
listo,3,CP26-1 UNFCC
abreviación,2,CP26-1 UNFCC
fcccpacmaadd,1,CP26-1 UNFCC
decisions,8,CP26-1 UNFCC
f,5,CP26-1 UNFCC
annex,10,CP26-1 UNFCC
various,9,CP26-1 UNFCC
sourz,24,CP26-1 UNFCC
used,33,CP26-1 UNFCC
illustrate,2,CP26-1 UNFCC
without,6,CP26-1 UNFCC
prejudizar,2,CP26-1 UNFCC
meaning,2,CP26-1 UNFCC
but,16,CP26-1 UNFCC
not,33,CP26-1 UNFCC
limited,15,CP26-1 UNFCC
iiannex,1,CP26-1 UNFCC
nonannex,5,CP26-1 UNFCC
mdbs,20,CP26-1 UNFCC
oecd,11,CP26-1 UNFCC
members,7,CP26-1 UNFCC
nonoecd,1,CP26-1 UNFCC
dac,7,CP26-1 UNFCC
eligible,2,CP26-1 UNFCC
official,1,CP26-1 UNFCC
assistance,6,CP26-1 UNFCC
classifications,4,CP26-1 UNFCC
comprís,2,CP26-1 UNFCC
this,35,CP26-1 UNFCC
summary,4,CP26-1 UNFCC
prepared,5,CP26-1 UNFCC
experts,5,CP26-1 UNFCC
guidance,12,CP26-1 UNFCC
drawing,1,CP26-1 UNFCC
range,5,CP26-1 UNFCC
subject,1,CP26-1 UNFCC
extensive,2,CP26-1 UNFCC
stakeholder,7,CP26-1 UNFCC
input,3,CP26-1 UNFCC
expert,2,CP26-1 UNFCC
